tau,sensitivity,specificity,youden_j,precision,f1,accuracy,rag_pct,tp,fp,fn,tn
0.28,0.4112,0.8101,0.2213,0.7952,0.5421,0.554,33.2,264,68,378,290
0.281,0.4128,0.8045,0.2172,0.791,0.5425,0.553,33.5,265,70,377,288
0.282,0.4128,0.7989,0.2117,0.7864,0.5414,0.551,33.7,265,72,377,286
0.283,0.4143,0.7905,0.2048,0.7801,0.5412,0.549,34.1,266,75,376,283
0.284,0.419,0.7849,0.2039,0.7775,0.5445,0.55,34.6,269,77,373,281
0.285,0.4237,0.7821,0.2058,0.7771,0.5484,0.552,35.0,272,78,370,280
0.286,0.4315,0.7737,0.2052,0.7737,0.554,0.554,35.8,277,81,365,277
0.287,0.433,0.7682,0.2012,0.7701,0.5543,0.553,36.1,278,83,364,275
0.288,0.4361,0.7682,0.2043,0.7713,0.5572,0.555,36.3,280,83,362,275
0.289,0.4393,0.7654,0.2046,0.7705,0.5595,0.556,36.6,282,84,360,274
0.29,0.4424,0.7654,0.2077,0.7717,0.5624,0.558,36.8,284,84,358,274
0.291,0.4424,0.757,0.1994,0.7655,0.5607,0.555,37.1,284,87,358,271
0.292,0.4439,0.757,0.2009,0.7661,0.5621,0.556,37.2,285,87,357,271
0.293,0.4502,0.7542,0.2043,0.7666,0.5672,0.559,37.7,289,88,353,270
0.294,0.4579,0.7514,0.2093,0.7676,0.5737,0.563,38.3,294,89,348,269
0.295,0.4611,0.743,0.2041,0.7629,0.5748,0.562,38.8,296,92,346,266
0.296,0.4642,0.7402,0.2044,0.7621,0.577,0.563,39.1,298,93,344,265
0.297,0.4673,0.7402,0.2075,0.7634,0.5797,0.565,39.3,300,93,342,265
0.298,0.4688,0.7374,0.2063,0.762,0.5805,0.565,39.5,301,94,341,264
0.299,0.4704,0.7374,0.2078,0.7626,0.5819,0.566,39.6,302,94,340,264
0.3,0.472,0.7346,0.2066,0.7613,0.5827,0.566,39.8,303,95,339,263
0.301,0.4735,0.7318,0.2054,0.76,0.5835,0.566,40.0,304,96,338,262
0.302,0.4766,0.7318,0.2085,0.7612,0.5862,0.568,40.2,306,96,336,262
0.303,0.4782,0.7263,0.2045,0.758,0.5864,0.567,40.5,307,98,335,260
0.304,0.4798,0.7235,0.2032,0.7568,0.5872,0.567,40.7,308,99,334,259
0.305,0.4798,0.7207,0.2004,0.7549,0.5867,0.566,40.8,308,100,334,258
0.306,0.4829,0.7179,0.2007,0.7543,0.5888,0.567,41.1,310,101,332,257
0.307,0.4922,0.7179,0.2101,0.7578,0.5968,0.573,41.7,316,101,326,257
0.308,0.4969,0.7123,0.2092,0.7559,0.5996,0.574,42.2,319,103,323,255
0.309,0.4969,0.7123,0.2092,0.7559,0.5996,0.574,42.2,319,103,323,255
0.31,0.4984,0.7123,0.2107,0.7565,0.6009,0.575,42.3,320,103,322,255
0.311,0.5,0.7123,0.2123,0.7571,0.6023,0.576,42.4,321,103,321,255
0.312,0.5031,0.7123,0.2154,0.7582,0.6049,0.578,42.6,323,103,319,255
0.313,0.5031,0.7123,0.2154,0.7582,0.6049,0.578,42.6,323,103,319,255
0.314,0.5093,0.7095,0.2188,0.7587,0.6095,0.581,43.1,327,104,315,254
0.315,0.514,0.7011,0.2151,0.7551,0.6117,0.581,43.7,330,107,312,251
0.316,0.5171,0.7011,0.2183,0.7563,0.6142,0.583,43.9,332,107,310,251
0.317,0.5187,0.7011,0.2198,0.7568,0.6155,0.584,44.0,333,107,309,251
0.318,0.5202,0.7011,0.2214,0.7574,0.6168,0.585,44.1,334,107,308,251
0.319,0.5234,0.6983,0.2217,0.7568,0.6188,0.586,44.4,336,108,306,250
0.32,0.5249,0.6927,0.2177,0.7539,0.6189,0.585,44.7,337,110,305,248
